# Device Information: 
# Manufacturer:LGE
# Model: Nexus 4
# API-level: 21
# LGE Accelerometer Sensor: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 1
# LGE Magnetometer Sensor: 
#     Resolution: 0.14953613
#     Minimal Delay: 20000
#     Sensor Type: 2
# Orientation: 
#     Resolution: 0.1
#     Minimal Delay: 5000
#     Sensor Type: 3
# LGE Proximity Sensor: 
#     Resolution: 0.10070801
#     Minimal Delay: 50000
#     Sensor Type: 8
# LGE Light Sensor: 
#     Resolution: 0.009994507
#     Minimal Delay: 50000
#     Sensor Type: 5
# LGE Gyroscope Sensor: 
#     Resolution: 0.0010681152
#     Minimal Delay: 5000
#     Sensor Type: 4
# LGE Barometer Sensor: 
#     Resolution: 0.009994507
#     Minimal Delay: 33333
#     Sensor Type: 6
# LGE Magnetometer Sensor: 
#     Resolution: 0.14953613
#     Minimal Delay: 20000
#     Sensor Type: 14
# LGE Gyroscope Sensor: 
#     Resolution: 0.0010681152
#     Minimal Delay: 5000
#     Sensor Type: 16
# Gravity: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 9
# Linear Acceleration: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 10
# Rotation Vector: 
#     Resolution: 5.9604645E-8
#     Minimal Delay: 5000
#     Sensor Type: 11
# Significant Motion: 
#     Resolution: 1.0
#     Minimal Delay: -1
#     Sensor Type: 17
# Game Rotation Vector: 
#     Resolution: 5.9604645E-8
#     Minimal Delay: 5000
#     Sensor Type: 15
# sample; timestamp; type; accuracy; data1; ...; dataN
#------------------------------------------------------------------
0; 1419822855062608543; 10; 3; -0.042596; -0.010968; -0.053983
1; 1419822855067620793; 10; 3; -0.253035; -0.158937; 0.059893
2; 1419822855072656193; 10; 3; -0.440988; -0.285699; 0.062621
3; 1419822855077722111; 10; 3; -0.171969; -0.182900; 0.109907
4; 1419822855082757512; 10; 3; 0.043620; 0.184075; 0.239567
5; 1419822855087762394; 10; 3; 0.256843; 0.446837; 0.285042
6; 1419822855092797795; 10; 3; 0.461204; 0.600541; 0.218706
7; 1419822855097863713; 10; 3; 0.577210; 0.692519; 0.100410
8; 1419822855102929631; 10; 3; 0.611622; 0.605872; -0.042575
9; 1419822855107934513; 10; 3; 0.316378; 0.311179; -0.024036
10; 1419822855112939396; 10; 3; 0.008211; -0.067886; 0.083911
11; 1419822855117974797; 10; 3; -0.158963; -0.221911; 0.106715
12; 1419822855123010197; 10; 3; -0.106261; -0.365491; -0.010164
13; 1419822855128045597; 10; 3; 0.021414; -0.253904; -0.037824
14; 1419822855133080998; 10; 3; 0.027853; -0.123585; -0.043869
15; 1419822855138116398; 10; 3; 0.063710; -0.050330; -0.049078
16; 1419822855143182316; 10; 3; -0.001336; 0.003277; 0.169036
17; 1419822855148217717; 10; 3; 0.022393; -0.012366; 0.423329
18; 1419822855153222599; 10; 3; 0.042836; 0.043698; 0.558880
19; 1419822855158258000; 10; 3; 0.041704; 0.019330; 0.691373
20; 1419822855163293400; 10; 3; 0.054581; -0.073183; 0.708225
21; 1419822855168328801; 10; 3; -0.051361; -0.050368; 0.525696
22; 1419822855173364201; 10; 3; -0.075957; -0.036693; 0.439806
23; 1419822855178399601; 10; 3; -0.146270; -0.087619; 0.341059
24; 1419822855183435002; 10; 3; -0.307743; -0.016411; 0.235116
25; 1419822855188470402; 10; 3; -0.309628; 0.044463; 0.174427
26; 1419822855193505803; 10; 3; -0.329489; 0.137052; 0.074365
27; 1419822855198541203; 10; 3; -0.284986; 0.179013; 0.018663
28; 1419822855203576603; 10; 3; -0.260660; 0.151546; -0.059986
29; 1419822855208673039; 10; 3; 0.216994; -0.354207; -0.620710
30; 1419822855213677922; 10; 3; 0.095164; -0.141464; -0.636083
31; 1419822855218682804; 10; 3; -0.107974; -0.062542; -0.482635
32; 1419822855223718205; 10; 3; -0.220939; -0.020299; -0.376596
33; 1419822855228753605; 10; 3; -0.209883; -0.031166; -0.352214
34; 1419822855233789006; 10; 3; -0.198751; -0.041728; -0.328397
35; 1419822855238824406; 10; 3; -0.117010; -0.039213; -0.395783
36; 1419822855243859806; 10; 3; -0.000281; -0.098954; -0.484108
37; 1419822855248895207; 10; 3; 0.049118; -0.143663; -0.724538
38; 1419822855253991642; 10; 3; 0.070456; -0.154940; -0.751925
39; 1419822855258996525; 10; 3; 0.115102; -0.148184; -0.609326
40; 1419822855264001408; 10; 3; 0.177870; -0.149522; -0.464271
41; 1419822855269036808; 10; 3; 0.324008; -0.103174; -0.357031
42; 1419822855274072209; 10; 3; 0.337575; -0.067425; -0.257320
43; 1419822855279107609; 10; 3; 0.328585; -0.068895; -0.248109
44; 1419822855284173527; 10; 3; 0.265424; -0.153520; -0.274956
45; 1419822855289178410; 10; 3; 0.127479; -0.136798; -0.098188
46; 1419822855294244328; 10; 3; 0.022469; -0.186549; -0.063030
47; 1419822855299279728; 10; 3; 0.010460; 0.013113; 0.083241
48; 1419822855304284611; 10; 3; -0.077205; 0.061748; 0.037869
49; 1419822855309350529; 10; 3; -0.182089; 0.110397; 0.141963
50; 1419822855314385929; 10; 3; -0.236683; 0.103055; 0.133563
51; 1419822855319421330; 10; 3; -0.308872; 0.083969; 0.100002
52; 1419822855324426213; 10; 3; -0.386834; 0.101267; 0.214554
53; 1419822855329492131; 10; 3; -0.353844; 0.182243; 0.172055
54; 1419822855334497013; 10; 3; -0.315240; 0.116471; 0.105102
55; 1419822855339532414; 10; 3; -0.204659; 0.065290; 0.189716
56; 1419822855344567814; 10; 3; -0.073613; 0.055280; 0.188274
57; 1419822855349603215; 10; 3; 0.031099; -0.003217; 0.225152
58; 1419822855354638615; 10; 3; 0.133565; -0.013424; 0.130013
59; 1419822855359704533; 10; 3; 0.263393; -0.022829; 0.156520
60; 1419822855364709416; 10; 3; 0.255429; -0.074464; 0.064663
61; 1419822855369744816; 10; 3; 0.289795; -0.126660; -0.158996
62; 1419822855374780217; 10; 3; 0.153564; -0.097225; -0.203482
63; 1419822855379815617; 10; 3; 0.102522; -0.116107; -0.302664
64; 1419822855384851017; 10; 3; -0.042508; -0.082805; -0.382064
65; 1419822855389886418; 10; 3; -0.057315; -0.104620; -0.303848
66; 1419822855394921818; 10; 3; -0.155836; -0.046934; -0.256895
67; 1419822855399957219; 10; 3; -0.253282; 0.003505; -0.349783
68; 1419822855405023137; 10; 3; -0.333108; 0.060807; -0.228466
69; 1419822855410058537; 10; 3; -0.401605; 0.073228; -0.183355
70; 1419822855415063420; 10; 3; -0.400621; 0.090514; -0.107564
71; 1419822855420129338; 10; 3; -0.326868; 0.092371; 0.088033
72; 1419822855425134221; 10; 3; -0.196973; 0.076522; 0.018086
73; 1419822855430169621; 10; 3; -0.086725; 0.099359; 0.055112
74; 1419822855435205021; 10; 3; 0.021703; 0.051137; 0.086141
75; 1419822855440240422; 10; 3; 0.068441; -0.040175; 0.078311
76; 1419822855445275822; 10; 3; 0.113040; -0.022477; 0.117869
77; 1419822855450311222; 10; 3; 0.209567; -0.025173; 0.022007
78; 1419822855455346623; 10; 3; 0.260910; -0.045484; -0.028028
79; 1419822855460412541; 10; 3; 0.278210; -0.014860; -0.023619
80; 1419822855465447941; 10; 3; 0.192673; 0.006306; -0.043237
81; 1419822855470520272; 10; 3; 0.064358; -0.022956; 0.032089
82; 1419822855475555672; 10; 3; 0.015194; 0.028409; 0.050850
83; 1419822855480591073; 10; 3; -0.037682; 0.032346; 0.110334
84; 1419822855485626473; 10; 3; -0.055128; 0.109177; 0.143342
85; 1419822855490661874; 10; 3; -0.097466; 0.109637; 0.164589
86; 1419822855495697274; 10; 3; -0.137533; 0.081611; 0.124841
87; 1419822855500763192; 10; 3; -0.631112; -0.341728; -0.596656
88; 1419822855505798592; 10; 3; -36.013062; -7.007190; -14.254469
89; 1419822855510833993; 10; 3; 7.250721; 2.454204; -3.374473
90; 1419822855515869393; 10; 3; 13.609761; 3.051747; 1.966338
91; 1419822855520874276; 10; 3; 8.835649; 2.353503; 4.117611
92; 1419822855525909676; 10; 3; 0.260575; -0.092549; 3.182958
93; 1419822855530975594; 10; 3; -0.018004; -0.114270; 2.095935
94; 1419822855535980477; 10; 3; 0.844903; 0.395616; 1.538729
95; 1419822855541015877; 10; 3; 0.519730; 0.468984; 0.502889
96; 1419822855546051278; 10; 3; 0.793728; 0.559911; -0.282909
97; 1419822855551086678; 10; 3; 1.213244; 0.437200; -0.065616
98; 1419822855556152596; 10; 3; 0.874316; 0.368109; 0.272581
99; 1419822855561187997; 10; 3; -0.336821; 0.197501; 0.128701
100; 1419822855566192879; 10; 3; -0.789224; -0.095583; 0.433265
101; 1419822855571228280; 10; 3; -1.038232; -0.006320; 0.246612
102; 1419822855576263680; 10; 3; -1.030011; 0.100725; 0.274649
103; 1419822855581299081; 10; 3; -0.964852; 0.229176; 0.480822
104; 1419822855586334481; 10; 3; -0.839358; 0.343321; 0.807280
105; 1419822855591369881; 10; 3; -0.660404; 0.355511; 0.921405
106; 1419822855596405282; 10; 3; -0.453863; 0.247360; 0.731668
107; 1419822855601440682; 10; 3; -0.163481; 0.067058; 0.611326
108; 1419822855606476083; 10; 3; 0.070030; -0.098338; 0.402479
109; 1419822855611542001; 10; 3; 0.295509; -0.225046; 0.340141
110; 1419822855616546883; 10; 3; 0.547684; -0.232938; 0.364884
111; 1419822855621582284; 10; 3; 0.800905; -0.245699; 0.314322
112; 1419822855626617684; 10; 3; 0.841115; -0.180624; 0.252776
113; 1419822855631653085; 10; 3; 0.762364; -0.234269; 0.300735
114; 1419822855636688485; 10; 3; 0.538449; -0.222827; 0.216666
115; 1419822855641723885; 10; 3; 0.282897; -0.264977; 0.207186
116; 1419822855646759286; 10; 3; 0.176147; -0.207996; 0.204307
117; 1419822855651794686; 10; 3; 0.039096; -0.103376; 0.206599
118; 1419822855656830086; 10; 3; -0.033941; -0.025943; 0.079547
119; 1419822855661896004; 10; 3; -0.121588; 0.063451; 0.074474
120; 1419822855666900887; 10; 3; -0.182841; -0.086567; 0.114600
121; 1419822855671936288; 10; 3; -0.179335; -0.057402; -0.030608
122; 1419822855676971688; 10; 3; -0.155294; -0.093536; -0.185157
123; 1419822855682007088; 10; 3; -0.112968; -0.174262; -0.146044
124; 1419822855687042489; 10; 3; -0.064196; -0.144702; -0.227874
125; 1419822855692077889; 10; 3; -37.939007; -12.861961; -5.792866
126; 1419822855697113290; 10; 3; 6.062682; 3.204493; -6.352003
127; 1419822855702148690; 10; 3; 12.454202; 3.046828; -0.126072
128; 1419822855707214608; 10; 3; 8.534306; 2.253585; 3.326200
129; 1419822855712250008; 10; 3; -0.518006; -0.522042; 3.089903
130; 1419822855717254891; 10; 3; -0.549396; -0.534797; 1.410352
131; 1419822855722290292; 10; 3; 1.037787; 0.337255; 0.679146
132; 1419822855727325692; 10; 3; 1.579710; 0.728515; 0.004234
133; 1419822855732361092; 10; 3; 1.763727; 0.688684; -0.237325
134; 1419822855737427010; 10; 3; 1.107364; 0.258978; 0.039590
135; 1419822855742431893; 10; 3; -0.168550; -0.133196; 0.505950
