# Device Information: 
# Manufacturer:LGE
# Model: Nexus 4
# API-level: 21
# LGE Accelerometer Sensor: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 1
# LGE Magnetometer Sensor: 
#     Resolution: 0.14953613
#     Minimal Delay: 20000
#     Sensor Type: 2
# Orientation: 
#     Resolution: 0.1
#     Minimal Delay: 5000
#     Sensor Type: 3
# LGE Proximity Sensor: 
#     Resolution: 0.10070801
#     Minimal Delay: 50000
#     Sensor Type: 8
# LGE Light Sensor: 
#     Resolution: 0.009994507
#     Minimal Delay: 50000
#     Sensor Type: 5
# LGE Gyroscope Sensor: 
#     Resolution: 0.0010681152
#     Minimal Delay: 5000
#     Sensor Type: 4
# LGE Barometer Sensor: 
#     Resolution: 0.009994507
#     Minimal Delay: 33333
#     Sensor Type: 6
# LGE Magnetometer Sensor: 
#     Resolution: 0.14953613
#     Minimal Delay: 20000
#     Sensor Type: 14
# LGE Gyroscope Sensor: 
#     Resolution: 0.0010681152
#     Minimal Delay: 5000
#     Sensor Type: 16
# Gravity: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 9
# Linear Acceleration: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 10
# Rotation Vector: 
#     Resolution: 5.9604645E-8
#     Minimal Delay: 5000
#     Sensor Type: 11
# Significant Motion: 
#     Resolution: 1.0
#     Minimal Delay: -1
#     Sensor Type: 17
# Game Rotation Vector: 
#     Resolution: 5.9604645E-8
#     Minimal Delay: 5000
#     Sensor Type: 15
# sample; timestamp; type; accuracy; data1; ...; dataN
#------------------------------------------------------------------
0; 1419879045374136836; 10; 3; -0.044138; 0.063806; -0.242689
1; 1419879045379549107; 10; 3; -0.148214; 0.160183; -0.264035
2; 1419879045384798130; 10; 3; -0.223698; 0.244135; -0.411041
3; 1419879045389558872; 10; 3; -0.361266; 0.315099; -0.239421
4; 1419879045394594273; 10; 3; -0.570880; 0.395266; -0.071856
5; 1419879045399629673; 10; 3; -0.816463; 0.457341; 0.300801
6; 1419879045404665073; 10; 3; -0.935198; 0.546499; 0.655610
7; 1419879045409700474; 10; 3; -1.007487; 0.436627; 0.972719
8; 1419879045414735874; 10; 3; -1.222722; 0.286109; 1.378553
9; 1419879045419771275; 10; 3; -1.198797; 0.245744; 1.737973
10; 1419879045424806675; 10; 3; -0.981456; 0.196933; 2.285350
11; 1419879045429842075; 10; 3; -0.619840; 0.067559; 2.795116
12; 1419879045434877476; 10; 3; -0.373255; -0.170957; 3.219487
13; 1419879045439912876; 10; 3; -0.217054; -0.379939; 3.436278
14; 1419879045444948277; 10; 3; 0.100490; -0.407058; 3.603370
15; 1419879045449983677; 10; 3; 0.254855; -0.513107; 3.475663
16; 1419879045454988560; 10; 3; 0.421836; -0.552186; 3.419056
17; 1419879045460054478; 10; 3; 0.448512; -0.557439; 3.207219
18; 1419879045465089878; 10; 3; 0.578581; -0.511215; 3.033631
19; 1419879045470125279; 10; 3; 0.584681; -0.532963; 2.857450
20; 1419879045475160679; 10; 3; 0.674998; -0.471581; 2.703544
21; 1419879045480196079; 10; 3; 0.622205; -0.365344; 2.496967
22; 1419879045485231480; 10; 3; 0.560876; -0.341843; 2.055049
23; 1419879045490266880; 10; 3; 0.517001; -0.335110; 1.638882
24; 1419879045495302281; 10; 3; 0.483146; -0.235371; 1.094643
25; 1419879045500337681; 10; 3; 0.348715; -0.096373; 0.740208
26; 1419879045505373081; 10; 3; 0.049149; -0.005105; 0.249533
27; 1419879045510408482; 10; 3; -0.357565; 0.165690; -0.082383
28; 1419879045515443882; 10; 3; -0.769681; 0.381321; -0.344646
29; 1419879045520479282; 10; 3; -1.057599; 0.546994; -0.623084
30; 1419879045525514683; 10; 3; -1.307028; 0.615580; -0.910893
31; 1419879045530611118; 10; 3; -1.314201; 0.644948; -1.050292
32; 1419879045535860142; 10; 3; -1.180891; 0.609162; -1.085264
33; 1419879045540620884; 10; 3; -0.970915; 0.472785; -1.145073
34; 1419879045545656284; 10; 3; -0.537010; 0.307545; -1.161959
35; 1419879045550691685; 10; 3; -0.199620; 0.212488; -1.021330
36; 1419879045555727085; 10; 3; 0.134367; 0.087164; -0.919477
37; 1419879045560762486; 10; 3; 0.456647; -0.082901; -0.748510
38; 1419879045565797886; 10; 3; 0.559860; -0.162394; -0.535341
39; 1419879045570802769; 10; 3; 0.705753; -0.187815; -0.349051
40; 1419879045575868687; 10; 3; 0.923668; -0.178060; -0.006272
41; 1419879045580904087; 10; 3; 1.061225; -0.195157; 0.295832
42; 1419879045585939488; 10; 3; 1.096531; -0.239076; 0.763396
43; 1419879045590974888; 10; 3; 1.040875; -0.136544; 1.011711
44; 1419879045596010288; 10; 3; 0.913617; -0.034525; 1.197285
45; 1419879045601045689; 10; 3; 0.611132; 0.154909; 1.251813
46; 1419879045606081089; 10; 3; 0.353343; 0.294146; 1.227047
47; 1419879045611116490; 10; 3; 0.013389; 0.478105; 0.981179
48; 1419879045616151890; 10; 3; -0.392614; 0.606679; 0.728302
49; 1419879045621156773; 10; 3; -0.619024; 0.669588; 0.429708
50; 1419879045626222691; 10; 3; -0.774568; 0.803019; 0.064873
51; 1419879045631258091; 10; 3; -0.826769; 0.778621; -0.179685
52; 1419879045636293491; 10; 3; -0.958117; 0.765863; -0.367218
53; 1419879045641328892; 10; 3; -0.944015; 0.738308; -0.536366
54; 1419879045646364292; 10; 3; -0.884161; 0.727382; -0.553246
55; 1419879045651399693; 10; 3; -0.767990; 0.722845; -0.480235
56; 1419879045656435093; 10; 3; -0.576651; 0.565863; -0.352793
57; 1419879045661470493; 10; 3; -0.226752; 0.483674; -0.048910
58; 1419879045666505894; 10; 3; 0.072914; 0.389179; 0.216900
59; 1419879045671541294; 10; 3; 0.269316; 0.297099; 0.409257
60; 1419879045676576695; 10; 3; 0.495200; 0.211407; 0.560034
61; 1419879045681673130; 10; 3; 0.531215; 0.287290; 0.586905
62; 1419879045686922154; 10; 3; 0.483405; 0.333924; 0.671254
63; 1419879045691682896; 10; 3; 0.416512; 0.415973; 0.756186
64; 1419879045696718296; 10; 3; 0.273500; 0.507337; 0.668016
65; 1419879045701753697; 10; 3; 0.206592; 0.534969; 0.559361
66; 1419879045706789097; 10; 3; 0.250281; 0.496498; 0.477316
67; 1419879045711824497; 10; 3; 0.306291; 0.487883; 0.431984
68; 1419879045716859898; 10; 3; 0.262508; 0.386405; 0.456863
69; 1419879045721864781; 10; 3; 0.211501; 0.374987; 0.626073
70; 1419879045726930698; 10; 3; 0.206647; 0.373450; 0.734662
71; 1419879045731966099; 10; 3; 0.181407; 0.388692; 0.740074
72; 1419879045737001499; 10; 3; 0.128077; 0.340895; 0.758756
73; 1419879045742036900; 10; 3; 0.096590; 0.341761; 0.749379
74; 1419879045747072300; 10; 3; -0.013828; 0.337211; 0.766246
75; 1419879045752107700; 10; 3; -0.040456; 0.311457; 0.671474
76; 1419879045757143101; 10; 3; -0.129101; 0.194852; 0.700158
77; 1419879045762178501; 10; 3; -0.254546; 0.172395; 0.646157
78; 1419879045767213902; 10; 3; -0.480542; 0.206866; 0.644412
79; 1419879045772249302; 10; 3; -0.598991; 0.222539; 0.656661
80; 1419879045777284702; 10; 3; -0.675552; 0.255158; 0.723861
81; 1419879045782320103; 10; 3; -0.678352; 0.191838; 0.818300
82; 1419879045787355503; 10; 3; -0.429857; 0.134654; 1.191398
83; 1419879045792390904; 10; 3; -0.253035; 0.089939; 1.447287
84; 1419879045797426304; 10; 3; -0.089069; 0.048406; 1.508775
85; 1419879045802461704; 10; 3; 0.013574; 0.025527; 1.514776
86; 1419879045807497105; 10; 3; 0.183813; -0.012609; 1.436622
87; 1419879045812532505; 10; 3; 0.397850; -0.116802; 1.263475
88; 1419879045817567906; 10; 3; 0.473261; -0.140313; 1.139834
89; 1419879045822603306; 10; 3; 0.509249; -0.207206; 0.871914
90; 1419879045827638706; 10; 3; 0.614112; -0.278908; 0.795401
91; 1419879045832735142; 10; 3; 0.671923; -0.298541; 0.785666
92; 1419879045837984165; 10; 3; 0.754153; -0.306409; 0.783023
93; 1419879045842744907; 10; 3; 0.681667; -0.366093; 0.927157
94; 1419879045847780308; 10; 3; 0.644194; -0.322365; 0.980079
95; 1419879045852815708; 10; 3; 0.547146; -0.271208; 1.011024
96; 1419879045857851109; 10; 3; 0.390943; -0.269163; 1.007333
97; 1419879045862886509; 10; 3; 0.361619; -0.308563; 1.014147
98; 1419879045867921909; 10; 3; 0.117618; -0.226223; 1.052517
99; 1419879045872957310; 10; 3; 0.016429; -0.214049; 1.097307
100; 1419879045877992710; 10; 3; -0.197603; -0.112250; 1.181438
101; 1419879045883028111; 10; 3; -0.379755; -0.151590; 1.233860
102; 1419879045888063511; 10; 3; -0.373750; -0.178693; 1.521304
103; 1419879045893098911; 10; 3; -0.369052; -0.224582; 1.719831
104; 1419879045898134312; 10; 3; -0.309434; -0.327331; 1.866997
105; 1419879045903169712; 10; 3; -0.231241; -0.439838; 2.123808
106; 1419879045908205113; 10; 3; -0.103086; -0.418597; 2.299550
107; 1419879045913240513; 10; 3; 0.110912; -0.538882; 2.386840
108; 1419879045918275913; 10; 3; 0.311297; -0.642285; 2.570696
109; 1419879045923311314; 10; 3; 0.446494; -0.734896; 2.658308
110; 1419879045928346714; 10; 3; 0.535291; -0.854669; 2.602466
111; 1419879045933382115; 10; 3; 0.544677; -0.791316; 2.155755
112; 1419879045938417515; 10; 3; 0.437527; -0.814557; 1.479692
113; 1419879045943452915; 10; 3; 0.232814; -0.802792; 0.709392
114; 1419879045948488316; 10; 3; 0.167644; -0.608909; 0.162744
115; 1419879045953523716; 10; 3; 0.111500; -0.344386; -0.424398
116; 1419879045958559116; 10; 3; 0.075842; -0.216997; -1.173437
117; 1419879045963594517; 10; 3; -0.206367; -0.157624; -1.784698
118; 1419879045968629917; 10; 3; -0.298580; -0.091517; -2.516984
119; 1419879045973665318; 10; 3; -0.362455; 0.053377; -2.946016
120; 1419879045978700718; 10; 3; -0.367738; 0.243551; -3.339115
121; 1419879045983797154; 10; 3; -0.435978; 0.283481; -3.713375
122; 1419879045989046177; 10; 3; -0.466896; 0.398036; -3.825969
123; 1419879045993806919; 10; 3; -0.420559; 0.401588; -3.847532
124; 1419879045998842320; 10; 3; -0.319702; 0.424208; -3.884446
125; 1419879046003877720; 10; 3; -0.248742; 0.351943; -3.546138
126; 1419879046008913120; 10; 3; -0.127510; 0.298337; -2.934774
