# Device Information: 
# Manufacturer:LGE
# Model: Nexus 4
# API-level: 21
# LGE Accelerometer Sensor: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 1
# LGE Magnetometer Sensor: 
#     Resolution: 0.14953613
#     Minimal Delay: 20000
#     Sensor Type: 2
# Orientation: 
#     Resolution: 0.1
#     Minimal Delay: 5000
#     Sensor Type: 3
# LGE Proximity Sensor: 
#     Resolution: 0.10070801
#     Minimal Delay: 50000
#     Sensor Type: 8
# LGE Light Sensor: 
#     Resolution: 0.009994507
#     Minimal Delay: 50000
#     Sensor Type: 5
# LGE Gyroscope Sensor: 
#     Resolution: 0.0010681152
#     Minimal Delay: 5000
#     Sensor Type: 4
# LGE Barometer Sensor: 
#     Resolution: 0.009994507
#     Minimal Delay: 33333
#     Sensor Type: 6
# LGE Magnetometer Sensor: 
#     Resolution: 0.14953613
#     Minimal Delay: 20000
#     Sensor Type: 14
# LGE Gyroscope Sensor: 
#     Resolution: 0.0010681152
#     Minimal Delay: 5000
#     Sensor Type: 16
# Gravity: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 9
# Linear Acceleration: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 10
# Rotation Vector: 
#     Resolution: 5.9604645E-8
#     Minimal Delay: 5000
#     Sensor Type: 11
# Significant Motion: 
#     Resolution: 1.0
#     Minimal Delay: -1
#     Sensor Type: 17
# Game Rotation Vector: 
#     Resolution: 5.9604645E-8
#     Minimal Delay: 5000
#     Sensor Type: 15
# sample; timestamp; type; accuracy; data1; ...; dataN
#------------------------------------------------------------------
0; 1419887326744420884; 10; 3; 0.047847; -0.024452; 0.026340
1; 1419887326749451043; 10; 3; 0.075500; -0.036332; -0.050268
2; 1419887326754486444; 10; 3; 0.111474; -0.027762; -0.052835
3; 1419887326759521844; 10; 3; 0.121874; -0.026877; -0.168332
4; 1419887326764526727; 10; 3; 0.119050; -0.018608; -0.110414
5; 1419887326769623162; 10; 3; 0.120582; 0.016169; -0.245924
6; 1419887326774628045; 10; 3; 0.061950; -0.019986; -0.184760
7; 1419887326779632928; 10; 3; 0.034091; -0.017860; -0.215244
8; 1419887326784698846; 10; 3; 0.059808; -0.012197; -0.218023
9; 1419887326789703729; 10; 3; 0.093420; -0.067925; -0.258133
10; 1419887326794739129; 10; 3; -0.025837; 0.051592; -0.244428
11; 1419887326799774530; 10; 3; 0.054657; -0.053060; -0.294943
12; 1419887326804809930; 10; 3; -0.054326; -0.054335; -0.248618
13; 1419887326809845330; 10; 3; -0.158228; -0.060088; -0.193546
14; 1419887326814880731; 10; 3; -0.248542; 0.013718; -0.213458
15; 1419887326819977166; 10; 3; -0.340437; 0.036434; -0.206541
16; 1419887326824982049; 10; 3; -0.420112; 0.088661; -0.195601
17; 1419887326829986932; 10; 3; -0.450566; 0.049512; -0.186159
18; 1419887326835022332; 10; 3; -0.502362; 0.127960; -0.237972
19; 1419887326840057733; 10; 3; -0.561133; 0.153298; -0.172664
20; 1419887326845093133; 10; 3; -0.504005; 0.127929; -0.156383
21; 1419887326850159051; 10; 3; -0.409617; 0.159708; -0.145763
22; 1419887326855163934; 10; 3; -0.296959; 0.119777; -0.200987
