# Device Information: 
# Manufacturer:LGE
# Model: Nexus 4
# API-level: 21
# LGE Accelerometer Sensor: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 1
# LGE Magnetometer Sensor: 
#     Resolution: 0.14953613
#     Minimal Delay: 20000
#     Sensor Type: 2
# Orientation: 
#     Resolution: 0.1
#     Minimal Delay: 5000
#     Sensor Type: 3
# LGE Proximity Sensor: 
#     Resolution: 0.10070801
#     Minimal Delay: 50000
#     Sensor Type: 8
# LGE Light Sensor: 
#     Resolution: 0.009994507
#     Minimal Delay: 50000
#     Sensor Type: 5
# LGE Gyroscope Sensor: 
#     Resolution: 0.0010681152
#     Minimal Delay: 5000
#     Sensor Type: 4
# LGE Barometer Sensor: 
#     Resolution: 0.009994507
#     Minimal Delay: 33333
#     Sensor Type: 6
# LGE Magnetometer Sensor: 
#     Resolution: 0.14953613
#     Minimal Delay: 20000
#     Sensor Type: 14
# LGE Gyroscope Sensor: 
#     Resolution: 0.0010681152
#     Minimal Delay: 5000
#     Sensor Type: 16
# Gravity: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 9
# Linear Acceleration: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 10
# Rotation Vector: 
#     Resolution: 5.9604645E-8
#     Minimal Delay: 5000
#     Sensor Type: 11
# Significant Motion: 
#     Resolution: 1.0
#     Minimal Delay: -1
#     Sensor Type: 17
# Game Rotation Vector: 
#     Resolution: 5.9604645E-8
#     Minimal Delay: 5000
#     Sensor Type: 15
# sample; timestamp; type; accuracy; data1; ...; dataN
#------------------------------------------------------------------
0; 1420300351746081582; 10; 3; -1.400069; -4.355220; -0.442416
1; 1420300351750964395; 10; 3; 0.301873; -2.532965; -0.520102
2; 1420300351755999795; 10; 3; 2.300358; 0.294044; -0.411424
3; 1420300351761035195; 10; 3; 3.495192; 2.427382; -0.350168
4; 1420300351766040078; 10; 3; 3.132016; 2.647318; -0.270236
5; 1420300351769183389; 10; 3; 0.907969; -0.163941; -0.258987
6; 1420300351774554482; 10; 3; -1.240591; -3.880304; -0.313391
7; 1420300351779620400; 10; 3; 0.144183; -2.525132; -0.589429
8; 1420300351784777871; 10; 3; 2.910013; 1.651826; -0.548729
9; 1420300351789904824; 10; 3; 0.725458; -1.121846; -0.413003
10; 1420300351795825234; 10; 3; -0.186270; -2.823606; -0.640085
11; 1420300351800219766; 10; 3; 2.500747; 1.050767; -0.671771
12; 1420300351805407754; 10; 3; -0.003306; -2.470627; -0.536973
13; 1420300351810534707; 10; 3; 1.502702; -0.160482; -0.732336
14; 1420300351815692178; 10; 3; 0.980623; -1.350008; -0.521707
15; 1420300351820880166; 10; 3; 0.989752; -0.631091; -0.644883
16; 1420300351826037637; 10; 3; 0.928118; -1.201073; -0.507026
17; 1420300351831195107; 10; 3; 1.073514; -0.247989; -0.555048
18; 1420300351836352578; 10; 3; 0.474698; -1.637299; -0.569037
19; 1420300351841693154; 10; 3; 1.212441; 0.252903; -0.459141
20; 1420300351846637002; 10; 3; 0.349471; -1.439178; -0.507717
21; 1420300351851641885; 10; 3; 0.806152; -0.542763; -0.479955
22; 1420300351856677285; 10; 3; 0.727134; -0.219978; -0.424135
23; 1420300351861743203; 10; 3; 0.167614; -1.369376; -0.446494
24; 1420300351866778604; 10; 3; 0.469170; -0.453365; -0.364091
25; 1420300351871814004; 10; 3; 0.481829; -0.089535; -0.545171
26; 1420300351876818887; 10; 3; -0.062161; -0.870877; -0.488515
27; 1420300351881854287; 10; 3; 0.115673; -0.816300; -0.514060
28; 1420300351886920205; 10; 3; 0.624044; -0.201691; -0.746802
29; 1420300351891925088; 10; 3; 0.509037; -0.337004; -0.839220
30; 1420300351896991006; 10; 3; 0.360118; -0.799491; -0.639902
31; 1420300351902203560; 10; 3; 0.483940; -0.941289; -0.631461
32; 1420300351907299996; 10; 3; 0.891524; -0.587489; -0.649364
33; 1420300351912243843; 10; 3; 0.889855; -0.424687; -0.702880
34; 1420300351917279244; 10; 3; 0.632293; -0.587182; -0.563193
35; 1420300351922314644; 10; 3; 0.518479; -0.862196; -0.527153
36; 1420300351927319527; 10; 3; 0.674841; -0.743855; -0.555783
37; 1420300351932415963; 10; 3; 0.676559; -0.587088; -0.636838
38; 1420300351937451363; 10; 3; 0.546175; -0.561625; -0.701662
39; 1420300351942547799; 10; 3; 0.395861; -0.608267; -0.606982
40; 1420300351948712349; 10; 3; 0.344404; -0.626126; -0.521794
41; 1420300351951642037; 10; 3; 0.340847; -0.619217; -0.516314
42; 1420300351957592965; 10; 3; 0.328386; -0.499310; -0.525280
43; 1420300351962628365; 10; 3; 0.352671; -0.453726; -0.489495
44; 1420300351967663765; 10; 3; 0.370990; -0.413301; -0.464894
45; 1420300351970807076; 10; 3; 0.367669; -0.408771; -0.460457
46; 1420300351976147652; 10; 3; 0.441271; -0.512449; -0.463661
47; 1420300351981213570; 10; 3; 0.484545; -0.437045; -0.404843
48; 1420300351986371041; 10; 3; 0.451950; -0.468222; -0.278851
49; 1420300351991497994; 10; 3; 0.394811; -0.414043; -0.311373
50; 1420300351996685982; 10; 3; 0.408432; -0.416856; -0.112971
51; 1420300352001843453; 10; 3; 0.325627; -0.654247; -0.222916
52; 1420300352007000924; 10; 3; 0.447520; -0.521723; -0.209120
53; 1420300352012158394; 10; 3; 0.657686; 0.129290; -0.175344
54; 1420300352017315865; 10; 3; 0.223876; -0.454388; -0.059158
55; 1420300352022473336; 10; 3; 0.859929; 0.671723; 0.017832
56; 1420300352027630806; 10; 3; -0.076763; -1.296277; -0.090141
57; 1420300352032788277; 10; 3; 0.711647; 0.414825; -0.056208
58; 1420300352037945748; 10; 3; -0.295608; -1.252098; -0.097495
59; 1420300352043316842; 10; 3; 0.969442; 0.604393; -0.178030
60; 1420300352048230172; 10; 3; -0.541512; -1.786548; -0.149298
61; 1420300352053265572; 10; 3; 1.498380; 1.387604; -0.305961
62; 1420300352058300972; 10; 3; -0.657144; -2.204300; -0.117015
63; 1420300352063305855; 10; 3; 0.852477; 0.385302; -0.400718
64; 1420300352068371773; 10; 3; 1.051181; 0.455989; -0.075827
65; 1420300352073407174; 10; 3; -1.178976; -2.778696; -0.372306
66; 1420300352078412056; 10; 3; 1.536333; 1.332541; -0.253360
67; 1420300352083477974; 10; 3; 1.010755; 0.527031; -0.091960
68; 1420300352088513375; 10; 3; -1.709762; -3.096979; -0.406381
69; 1420300352093518258; 10; 3; 0.899855; 0.394112; -0.417195
70; 1420300352098614693; 10; 3; 2.101052; 2.258178; -0.115203
71; 1420300352103619576; 10; 3; -1.078537; -2.041779; -0.074070
72; 1420300352108777047; 10; 3; -1.451238; -2.839960; -0.352746
73; 1420300352113659859; 10; 3; 1.779752; 1.504650; -0.353800
74; 1420300352118725777; 10; 3; 1.970174; 2.267750; -0.135022
75; 1420300352123761177; 10; 3; -1.125747; -1.957848; -0.374755
76; 1420300352128766060; 10; 3; -1.930878; -3.559548; -0.654011
77; 1420300352133801461; 10; 3; 0.841314; 0.008193; -0.681255
78; 1420300352138836861; 10; 3; 2.691271; 3.047848; -0.403090
79; 1420300352143902779; 10; 3; 0.803805; 0.923521; -0.305879
80; 1420300352149121285; 10; 3; -1.964897; -3.048117; -0.379858
81; 1420300352153973580; 10; 3; -1.801367; -3.334031; -0.621221
82; 1420300352158978463; 10; 3; 0.997464; 0.294347; -0.454664
83; 1420300352164044381; 10; 3; 2.823778; 3.208150; -0.085054
84; 1420300352169079781; 10; 3; 1.567947; 1.847514; 0.045771
85; 1420300352172284127; 10; 3; 1.556048; 1.834100; 0.045081
86; 1420300352177563668; 10; 3; -2.269318; -4.037066; -0.253167
87; 1420300352182599068; 10; 3; -0.405327; -1.950791; -0.263013
88; 1420300352187787056; 10; 3; 2.281358; 1.827658; -0.166160
89; 1420300352192944527; 10; 3; 2.943837; 3.342132; 0.157190
90; 1420300352198101998; 10; 3; 1.035924; 1.111620; 0.237418
91; 1420300352203259468; 10; 3; -1.491055; -2.618305; 0.004153
92; 1420300352208416939; 10; 3; -2.274762; -4.299016; -0.301757
93; 1420300352213543892; 10; 3; -0.578837; -2.385842; -0.454340
94; 1420300352218731881; 10; 3; 1.967422; 1.298858; -0.187602
95; 1420300352223889351; 10; 3; 2.961731; 3.368591; -0.020906
96; 1420300352229046822; 10; 3; 1.671901; 2.153586; 0.061878
97; 1420300352234204293; 10; 3; -0.952483; -1.267265; 0.010549
98; 1420300352239361763; 10; 3; -2.537543; -3.952382; -0.223604
99; 1420300352244732857; 10; 3; -1.944338; -3.517616; -0.266928
100; 1420300352250195504; 10; 3; 0.269653; -0.562913; -0.276781
101; 1420300352254681588; 10; 3; 2.352618; 2.709405; 0.028874
102; 1420300352259716988; 10; 3; 2.640937; 3.592067; 0.208422
103; 1420300352264752388; 10; 3; 0.918641; 1.504798; 0.117090
104; 1420300352269787789; 10; 3; -1.424843; -1.973679; 0.045123
105; 1420300352274823189; 10; 3; -2.542313; -4.112494; -0.212199
106; 1420300352279828072; 10; 3; -1.504275; -3.236392; -0.340205
107; 1420300352284893990; 10; 3; 0.921064; 0.013517; -0.389350
108; 1420300352289929390; 10; 3; 2.768296; 2.928387; -0.335298
109; 1420300352294934273; 10; 3; 2.629490; 3.357901; -0.063859
110; 1420300352300000191; 10; 3; 0.661613; 0.928373; -0.009228
111; 1420300352305035592; 10; 3; -1.651532; -2.465601; -0.123878
112; 1420300352310193062; 10; 3; -2.630992; -4.269336; -0.303700
113; 1420300352315106392; 10; 3; -1.490560; -3.121632; -0.373287
114; 1420300352320141793; 10; 3; 0.839952; 0.079497; -0.329605
115; 1420300352325177193; 10; 3; 2.529194; 2.939359; -0.159210
116; 1420300352330212593; 10; 3; 2.459665; 3.507015; -0.065229
117; 1420300352335217476; 10; 3; 0.564983; 1.297008; -0.017871
118; 1420300352340252877; 10; 3; -1.673578; -2.108956; -0.309360
119; 1420300352345318795; 10; 3; -2.618015; -4.219242; -0.527469
120; 1420300352350354195; 10; 3; -1.596998; -3.500878; -0.818460
121; 1420300352355389595; 10; 3; 0.754516; -0.500300; -0.702833
122; 1420300352360394478; 10; 3; 2.764406; 2.563776; -0.502316
123; 1420300352365460396; 10; 3; 2.776265; 3.175296; -0.197044
124; 1420300352370495797; 10; 3; 0.249475; 0.010942; -0.093785
125; 1420300352373700142; 10; 3; -1.984269; -3.399477; -0.126907
126; 1420300352379010201; 10; 3; 0.083700; -0.596395; -0.241707
127; 1420300352384045601; 10; 3; 2.020568; 2.255890; -0.072801
128; 1420300352389203072; 10; 3; -0.958129; -1.935637; -0.013482
129; 1420300352394330025; 10; 3; -0.053919; -0.241903; -0.116207
130; 1420300352399518013; 10; 3; 1.004889; 0.871779; -0.019186
131; 1420300352404675484; 10; 3; -0.933527; -1.746851; -0.220747
132; 1420300352409832955; 10; 3; 0.961413; 1.264042; -0.197270
133; 1420300352414990426; 10; 3; -0.716377; -1.579492; -0.242585
134; 1420300352420147896; 10; 3; 0.751478; 0.919243; -0.439312
135; 1420300352425305367; 10; 3; -0.407395; -1.175327; -0.091992
136; 1420300352430432320; 10; 3; 0.487815; 0.172144; -0.303258
